,breadscrum,cod_item,cod_item_pai,nome,situacao,sigiloso,assunto_secundario,crime_antecedente,just_es_2grau,just_es_juizado_es,just_es_turmas,just_es_1grau_mil,just_es_2grau_mil,just_es_juizado_es_fp,just_tu_es_un,just_fed_1grau,just_fed_2grau,just_fed_juizado_es,just_fed_turmas,just_fed_nacional,just_fed_regional,just_trab_1grau,just_trab_2grau,just_trab_tst,just_trab_csjt,stf,stj,cjf,cnj,just_mil_uniao_1grau,just_mil_uniao_stm,just_mil_est_1grau,just_mil_est_tjm,just_elei_1grau,just_elei_2grau,just_elei_tse
0,14,14,0,DIREITO TRIBUTÁRIO,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
1,195,195,0,DIREITO PREVIDENCIÁRIO,A,N,N,N,S,N,N,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
2,287,287,0,DIREITO PENAL,A,N,N,,S,S,S,S,S,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,S,S,S,S,S,S,S
3,864,864,0,DIREITO DO TRABALHO,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,N,S,N,N,N,N,N,N,N,N,N,N
4,899,899,0,DIREITO CIVIL,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,N,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
5,1146,1146,0,DIREITO MARÍTIMO,A,N,N,N,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
6,1156,1156,0,DIREITO DO CONSUMIDOR,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,S,S,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
7,1209,1209,0,DIREITO PROCESSUAL PENAL,A,N,N,N,S,S,S,N,N,N,N,S,S,S,S,N,N,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N
8,864:2581:2594:1681,1681,2594,Periculosidade,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,N,S,N,N,N,N,N,N,N,N,N,N
9,864:1697:1690,1690,1697, Contribuição / Taxa Assistencial,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,N,S,N,N,N,N,N,N,N,N,N,N
10,864:1697:1691,1691,1697, Contribuição Confederativa,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,N,S,N,N,N,N,N,N,N,N,N,N
11,864:1695,1695,864,Acordo e Convenção Coletivos de Trabalho,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,N,S,N,N,N,N,N,N,N,N,N,N
12,864:1697,1697,864,Direito Sindical e Questões Análogas,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,N,S,N,N,N,N,N,N,N,N,N,N
13,864:1697:1703,1703,1697, Eleição,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,N,S,N,N,N,N,N,N,N,N,N,N
