,breadscrum,cod_item,cod_item_pai,nome,situacao,just_es_2grau,just_es_juizado_es,just_es_turmas,just_es_1grau_mil,just_es_2grau_mil,just_es_juizado_es_fp,just_tu_es_un,just_fed_1grau,just_fed_2grau,just_fed_juizado_es,just_fed_turmas,just_fed_nacional,just_fed_regional,just_trab_1grau,just_trab_2grau,just_trab_tst,just_trab_csjt,stf,stj,cjf,cnj,just_mil_uniao_1grau,just_mil_uniao_stm,just_mil_est_1grau,just_mil_est_tjm,just_elei_1grau,just_elei_2grau,just_elei_tse
0,2,2,0,PROCESSO CÍVEL E DO TRABALHO,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N
1,5,5,0,SUPERIOR TRIBUNAL DE JUSTIÇA,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2,2:1106:1107:7,7,1107,Procedimento Comum Cível,A,S,N,N,S,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N
3,2:1106:1107:22,22,1107,Procedimento Sumário,I,N,N,N,S,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N
4,2:1106:1107:26,26,1107,Procedimentos Especiais,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N
5,2:1106:1107:26:27,27,26,Procedimentos Especiais de Jurisdição Contenciosa,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N
6,2:1106:1107:26:27:28,28,27,Anulação e Substituição de Títulos ao Portador,I,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7,2:1106:1107:26:27:29,29,27,Apreensão e Depósito de Coisa Vendida com Reserva de Domínio,I,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
8,2:1106:1107:26:27:30,30,27,Arrolamento Comum,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
9,2:1106:1107:26:27:31,31,27,Arrolamento Sumário,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10,2:1106:1107:26:27:32,32,27,Consignação em Pagamento,A,S,N,N,S,S,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,S,S,N,N,N
11,2:1106:1107:26:27:34,34,27,Demarcação / Divisão,A,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
12,2:1106:1107:26:27:35,35,27,Depósito,I,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
13,2:1106:1107:26:27:37,37,27,Embargos de Terceiro Cível,A,S,S,N,S,S,N,N,S,S,N,N,N,N,S,S,S,N,N,N,N,N,N,N,S,S,S,S,S
14,2:1106:1107:26:27:38,38,27,Habilitação,A,S,N,N,S,S,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,N,N,N
15,2:1106:1107:26:27:39,39,27,Inventário,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
16,2:1106:1107:26:27:40,40,27,Monitória,A,N,N,N,N,N,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N
17,2:1106:1107:26:27:41,41,27,Nunciação de Obra Nova,I,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
18,2:1106:1107:26:27:44,44,27,Prestação de Contas - Oferecidas,I,N,N,N,N,N,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N
19,2:1106:1107:26:27:45,45,27,Ação de Exigir Contas,A,N,N,N,N,N,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N
