,breadscrum,cod_item,cod_item_pai,nome,situacao,visibilidade_externa,monocratico,colegiado,presidente_vice,flg_papel,flg_eletronico,just_es_2grau,just_es_juizado_es,just_es_turmas,just_es_1grau_mil,just_es_2grau_mil,just_es_juizado_es_fp,just_tu_es_un,just_fed_1grau,just_fed_2grau,just_fed_juizado_es,just_fed_turmas,just_fed_nacional,just_fed_regional,just_trab_1grau,just_trab_2grau,just_trab_tst,just_trab_csjt,stf,stj,cjf,cnj,just_mil_uniao_1grau,just_mil_uniao_stm,just_mil_est_1grau,just_mil_est_tjm,just_elei_1grau,just_elei_2grau,just_elei_tse
0,1,1,0,Magistrado,A,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,S,S,S
1,1:3,3,1,Decisão,A,S,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,S,S,S
2,1:3:7,7,3,Conversão,A,S,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,S,S
3,1:3:11,11,3,Declaração,A,S,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,S,S,S
4,14:15:16,16,15,Cálculo,A,S,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,S,S,S
5,14:18:22,22,18,Baixa Definitiva,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
6,1:3:25,25,3,Suspensão ou Sobrestamento,A,S,N,N,N,S,S,S,N,N,N,N,N,N,S,S,N,N,N,N,S,S,S,N,N,S,N,S,N,N,N,N,S,S,S
7,14:18:26,26,18,Distribuição,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
8,14:18:36,36,18,Redistribuição,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,N,S,S,S,S,S,S,S,S
9,14:48,48,14,Escrivão/Diretor de Secretaria/Secretário Jurídico,A,S,N,N,N,N,N,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
10,14:48:51,51,48,Conclusão,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
11,1:3:56,56,3,Requisição de informações,I,S,S,S,S,S,S,S,S,S,N,N,S,S,S,S,S,S,N,S,S,S,S,N,S,S,N,N,N,N,N,N,S,S,S
12,14:48:60,60,48,Expedição de documento,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
13,1:3:63,63,3,Ordenação de entrega de autos,I,S,N,N,N,S,N,S,S,S,N,N,S,N,S,N,S,N,N,N,S,S,S,N,N,S,N,N,N,N,N,N,S,S,S
14,14:48:67,67,48,Juntada,A,S,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,0,N,S,S,S
15,1:3:83,83,3,Cancelamento da distribuição,A,S,S,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,N,N,S,N,S,S,S,S,S,S,S,S
16,14:48:67:85,85,67,Petição,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
17,14:48:92,92,48,Publicação,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,N,S,S,S,S,S,S,S
18,14:104:105,105,104,Devolução,A,S,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,0,N,S,S,S
19,14:104:105:106,106,105,Mandado,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
20,1:3:108,108,3,Decretação de Prisão Criminal,A,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,S,S,S
21,14:104:105:112,112,105,Ofício,A,S,N,N,N,S,S,S,S,S,S,S,S,S,S,S,S,S,N,S,S,S,S,N,S,S,S,S,S,S,S,S,S,S,S
22,1:3:113,113,3,Decretação de Prisão Civil,A,N,N,N,N,S,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,S,S,S
23,14:104:115,115,104,Recebimento,A,S,N,N,N,S,S,S,S,S,N,N,S,S,S,S,S,S,S,S,S,S,S,N,N,S,N,S,N,N,0,N,S,S,S
