Orgao;2;268;268:269;268:277;268:281;268:284;268:303;268:308;268:316;268:334;268:412;2:1106;2:12133;2:158;2:175;2:197;2:214;385;385:406
 diretoria do foro da comarca de arcoverde - tjpe (g1);0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0
 diretoria do foro da comarca de camaragibe - tjpe (g1);0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0
 diretoria do foro da comarca de garanhuns - tjpe (g1);0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;3;0;0
 diretoria do foro da comarca de goiana - tjpe (g1);0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0
 diretoria do foro da comarca de gravata - tjpe (g1);0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;5;0;0
 diretoria do foro da comarca de limoeiro - tjpe (g1);0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0
 diretoria do foro da comarca de salgueiro - tjpe (g1);0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0
 diretoria do foro da comarca de santa cruz do capibaribe - tjpe (g1);0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;5;0;0
 diretoria do foro da comarca de timbaúba - tjpe (g1);0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0
 diretoria do foro da comarca de vitória de santo antão - tjpe (g1);0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;2;0;0
0  amparo do são francisco - tjse (g1);0;0;0;1;5;0;0;0;0;0;0;11;0;19;0;0;0;0;0
0  japoatã - tjse (g1);0;0;0;12;53;3;0;0;1;1;0;172;0;64;3;0;2;0;0
0  malhada dos bois - tjse (g1);0;0;0;11;41;0;0;0;0;2;0;33;0;16;0;0;0;0;0
0  telha - tjse (g1);0;0;0;6;10;1;0;0;0;0;0;56;0;19;3;0;3;1;0
0 itaporanga - tjse (g1);0;0;0;1;0;0;3;0;0;0;0;56;0;37;0;0;3;0;0
0 moita bonita - tjse (g1);0;0;0;13;40;3;0;0;0;0;0;73;0;45;2;0;5;0;0
0 riachão do dantas - tjse (g1);0;0;0;12;41;0;0;0;1;2;0;107;0;24;0;0;1;0;0
01 acidentes trabalho de central - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0
01 acidentes trabalho de santos - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0
01 civel de americana - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;18;1;7;0;0;1;0;0
01 civel de aracatuba - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;13;0;3;0;0;1;0;0
01 civel de araraquara - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;7;0;2;0;0;0;0;0
01 civel de araras - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;14;0;1;1;0;0;0;0
01 civel de assis - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;10;0;4;0;0;0;0;0
01 civel de atibaia - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;25;0;6;2;0;0;0;0
01 civel de avare - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;24;0;1;1;0;3;0;0
01 civel de barretos - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;28;0;4;1;0;0;0;0
01 civel de barueri - tjsp (g1);0;0;0;0;2;0;0;0;0;0;0;55;0;30;2;0;4;0;0
01 civel de batatais - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;17;0;1;1;0;0;0;0
01 civel de bauru - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;11;0;1;0;0;3;0;0
01 civel de birigui - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;16;0;5;2;0;0;0;0
01 civel de botucatu - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;12;0;2;0;0;1;0;0
01 civel de braganca paulista - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;11;0;6;1;0;3;0;0
01 civel de butanta - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;13;0;9;0;0;0;0;0
01 civel de cacapava - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;2;0;0
01 civel de campinas - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;12;0;10;0;0;0;0;0
01 civel de caraguatatuba - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;9;0;5;0;0;2;0;0
01 civel de carapicuiba - tjsp (g1);0;0;0;0;2;0;0;0;0;0;0;7;0;3;0;0;2;0;0
01 civel de catanduva - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;14;0;6;0;0;1;0;0
01 civel de central - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;36;0;15;4;0;1;0;0
01 civel de cotia - tjsp (g1);0;0;0;0;4;0;0;0;0;0;0;24;0;13;1;0;4;0;0
01 civel de cruzeiro - tjsp (g1);0;0;0;0;0;1;0;0;0;0;0;19;0;4;1;0;0;0;0
01 civel de diadema - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;11;0;14;0;0;0;0;0
