;case: orgao_mun;14;195;287;864;899;1146;1156;1209;6191;7724;8826;9633;9985;10739;11049;11068;11428;12467;12480;12734;2;268;268:269;268:277;268:281;268:284;268:303;268:308;268:316;268:334;268:412;2:1106;2:12133;2:158;2:175;2:197;2:214;385;385:406;total;cluster;count
0;0  JAPOATÃ - TJSE;0.064;0.01;0.215;0.003;0.141;0.0;0.0;0.006;0.0;0.0;0.437;0.003;0.113;0.0;0.0;0.003;0.0;0.0;0.0;0.003;0.0;0.0;0.0;0.039;0.17;0.01;0.0;0.0;0.003;0.003;0.0;0.553;0.0;0.206;0.01;0.0;0.006;0.0;0.0;0.02;-1;-1
1;0  MALHADA DOS BOIS - TJSE;0.097;0.0;0.524;0.0;0.175;0.0;0.029;0.0;0.0;0.0;0.155;0.0;0.019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.107;0.398;0.0;0.0;0.0;0.0;0.019;0.0;0.32;0.0;0.155;0.0;0.0;0.0;0.0;0.0;0.007;-1;-1
2;0  TELHA - TJSE;0.02;0.03;0.172;0.0;0.253;0.0;0.051;0.01;0.0;0.0;0.364;0.0;0.101;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.061;0.101;0.01;0.0;0.0;0.0;0.0;0.0;0.566;0.0;0.192;0.03;0.0;0.03;0.01;0.0;0.006;-1;-1
3;0 MOITA BONITA - TJSE;0.061;0.006;0.309;0.0;0.204;0.0;0.028;0.0;0.0;0.0;0.249;0.0;0.144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.072;0.221;0.017;0.0;0.0;0.0;0.0;0.0;0.403;0.0;0.249;0.011;0.0;0.028;0.0;0.0;0.012;-1;-1
4;0 RIACHÃO DO DANTAS - TJSE;0.032;0.059;0.277;0.0;0.191;0.0;0.069;0.016;0.0;0.011;0.298;0.0;0.043;0.0;0.0;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.064;0.218;0.0;0.0;0.0;0.005;0.011;0.0;0.569;0.0;0.128;0.0;0.0;0.005;0.0;0.0;0.012;-1;-1
5;01 CIVEL DE BARUERI - TJSP;0.0;0.0;0.022;0.0;0.871;0.0;0.032;0.0;0.0;0.0;0.043;0.0;0.032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022;0.0;0.0;0.0;0.0;0.0;0.0;0.591;0.0;0.323;0.022;0.0;0.043;0.0;0.0;0.006;-1;-1
6;01 CIVEL DE GUARULHOS - TJSP;0.014;0.014;0.0;0.0;0.754;0.0;0.029;0.0;0.0;0.0;0.043;0.0;0.145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.783;0.0;0.174;0.043;0.0;0.0;0.0;0.0;0.004;-1;-1
7;01 CRIMINAL DE BAURU - TJSP;0.0;0.0;0.944;0.0;0.033;0.0;0.0;0.0;0.0;0.0;0.011;0.011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.078;0.478;0.033;0.0;0.0;0.0;0.378;0.0;0.033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006;-1;-1
8;01 CRIMINAL DE SAO JOSE DO RIO PRETO - TJSP;0.0;0.0;0.978;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.033;0.824;0.132;0.0;0.0;0.0;0.011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006;-1;-1
9;01 CRIMINAL DE SERTAOZINHO - TJSP;0.0;0.0;0.962;0.0;0.0;0.0;0.0;0.014;0.0;0.0;0.005;0.019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.835;0.09;0.052;0.005;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014;0.0;0.014;-1;-1
10;01 CUMULATIVA DE ANDRADINA - TJSP;0.0;0.0;0.714;0.0;0.2;0.0;0.057;0.0;0.0;0.0;0.029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.114;0.0;0.0;0.0;0.0;0.0;0.0;0.257;0.0;0.029;0.0;0.0;0.0;0.0;0.0;0.002;-1;-1
11;01 CUMULATIVA DE CRAVINHOS - TJSP;0.861;0.011;0.029;0.0;0.066;0.0;0.0;0.022;0.0;0.0;0.011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011;0.011;0.0;0.0;0.0;0.0;0.0;0.0;0.08;0.0;0.865;0.0;0.0;0.004;0.029;0.0;0.018;-1;-1
12;01 CUMULATIVA DE ITAPEVA - TJSP;0.0;0.0;0.444;0.0;0.278;0.0;0.0;0.139;0.0;0.0;0.111;0.028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.083;0.361;0.028;0.0;0.0;0.0;0.0;0.0;0.083;0.0;0.167;0.083;0.0;0.056;0.139;0.0;0.002;-1;-1
13;01 CUMULATIVA DE ITAPIRA - TJSP;0.0;0.008;0.415;0.0;0.4;0.0;0.015;0.0;0.0;0.0;0.138;0.0;0.023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.354;0.031;0.015;0.0;0.0;0.0;0.023;0.0;0.515;0.0;0.023;0.015;0.0;0.023;0.0;0.0;0.008;-1;-1
14;01 CUMULATIVA DE ITARARE - TJSP;0.377;0.002;0.017;0.0;0.573;0.0;0.008;0.0;0.0;0.0;0.006;0.0;0.017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002;0.013;0.0;0.002;0.0;0.0;0.0;0.0;0.04;0.0;0.941;0.002;0.0;0.0;0.0;0.0;0.031;-1;-1
15;01 CUMULATIVA DE LUCELIA - TJSP;0.952;0.009;0.022;0.0;0.002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007;0.007;0.0;0.0;0.0;0.007;0.0;0.011;0.0;0.967;0.0;0.0;0.0;0.0;0.0;0.035;0;0
