Orgao Julgador;Justiça;Tribunal;Grau;PCA_AP_G;TSNE_AP_G;PCA;PCA_FF;TSNE_FF;TSNE
 diretoria do foro da comarca de arcoverde - tjpe;Estadual;TJPE;G1;0;0;0;;;0
 diretoria do foro da comarca de camaragibe - tjpe;Estadual;TJPE;G1;0;0;0;;;0
 diretoria do foro da comarca de garanhuns - tjpe;Estadual;TJPE;G1;0;0;0;;;0
 diretoria do foro da comarca de goiana - tjpe;Estadual;TJPE;G1;0;0;0;;;0
 diretoria do foro da comarca de gravata - tjpe;Estadual;TJPE;G1;0;0;0;;;0
 diretoria do foro da comarca de limoeiro - tjpe;Estadual;TJPE;G1;0;0;0;;;0
 diretoria do foro da comarca de salgueiro - tjpe;Estadual;TJPE;G1;0;0;0;;;0
 diretoria do foro da comarca de santa cruz do capibaribe - tjpe;Estadual;TJPE;G1;0;0;0;;;0
 diretoria do foro da comarca de timbaúba - tjpe;Estadual;TJPE;G1;0;0;0;;;0
 diretoria do foro da comarca de vitória de santo antão - tjpe;Estadual;TJPE;G1;0;0;0;;;0
02 cumulativa de tremembe - tjsp;Estadual;TJSP;G1;0;0;0;;;0
1� vara da comarca de maracana� - tjce;Estadual;TJCE;G1;0;0;0;;;0
12� vara de familia da comarca de fortaleza - tjce;Estadual;TJCE;G1;0;0;0;;;0
1ª turma recursal do grupo jurisdicional de divinópolis da comarca de divinópolis - tjmg;Estadual;TJMG;TR;49;765;0;;;0
1ª turma recursal do grupo jurisdicional de montes claros da comarca de montes claros - tjmg;Estadual;TJMG;TR;49;765;0;;;0
1ª vara civel varzea grande - tjmt;Estadual;TJMT;G1;0;0;0;;;0
1ª vara da comarca de baturite - tjce;Estadual;TJCE;G1;0;0;0;;;0
1ª vara de execuções fiscais e precatórias cíveis - porto velho - fórum cível - tjro;Estadual;TJRO;G1;0;0;0;;;0
1ª vara de familia e sucessoes da comarca de maracanau - tjce;Estadual;TJCE;G1;0;0;0;;;0
1ª vara de joao lisboa - tjma;Estadual;TJMA;G1;0;378;0;;;0
1ª vara palmeira dos indios / cível e inf. e juv. - tjal;Estadual;TJAL;G1;0;0;0;;;0
1º juizado especial cível - tjrn;Estadual;TJRN;G1;0;0;0;;;0
2ª turma recursal do grupo jurisdicional de divinópolis  da comarca de divinópolis - tjmg;Estadual;TJMG;TR;49;765;0;;;0
2ª turma recursal do grupo jurisdicional de montes claros da comarca de montes claros - tjmg;Estadual;TJMG;TR;49;765;0;;;0
2ª vara dos feitos relativos as relacoes de consumo, civeis , comerciais, consumidor e fazenda publica de senhor do bonfim - tjba;Estadual;TJBA;G1;0;0;0;;-1;0
38ª vara civel da comarca de fortaleza - tjce;Estadual;TJCE;G1;0;0;0;;;0
3ª vara dos feitos de rel. de cons. civeis e comerciais de ilheus - tjba;Estadual;TJBA;G1;0;0;0;;;0
5ª turma recursal do grupo jurisdicional de juiz de fora da comarca de juiz de fora - tjmg;Estadual;TJMG;TR;49;765;0;;;0
6� vara c�vel de campina grande - tjpb;Estadual;TJPB;G1;0;0;0;;;0
2ª vara da fazenda pública do foro central da comarca de porto alegre - tjrs;Estadual;TJRS;G1;0;1;0;;47;1
5ª vara da fazenda pública - porto alegre - tjrs;Estadual;TJRS;G1;0;1;0;;47;1
diretoria do foro da comarca de abreu e lima - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro da comarca de afogados da ingazeira - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro da comarca de barreiros - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro da comarca de bom conselho - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro da comarca de brejo da madre de deus - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro da comarca de cabrobó - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro da comarca de caetés - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro da comarca de correntes - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro da comarca de igarassu - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro da comarca de ipojuca - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro da comarca de jupi - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro da comarca de lajedo - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro da comarca de são josé do belmonte - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro da comarca de são josé do egito - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro da comarca de são vicente férrer - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro da comarca de serra talhada - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro da comarca de taquaritinga do norte - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro da comarca de vicência - tjpe;Estadual;TJPE;G1;0;0;0;;;0
diretoria do foro de fernando de noronha - tjpe;Estadual;TJPE;G1;0;0;0;;;0
gab. juiz subs. marcelo souza de barros - sdcr - tjmt;Estadual;TJMT;G2;36;698;0;;;0
gabinete des. walter waltenberg - tjro;Estadual;TJRO;G2;36;698;0;;;0
gabinete desa. maria aparecida santos gama da silva - tjse;Estadual;TJSE;G2;36;702;0;;;0
juizado especial civel crim. de itatinga - tjsp;Estadual;TJSP;JE;26;615;0;;;0
juizado especial civel crim. de lorena - tjsp;Estadual;TJSP;JE;26;489;0;;;0
juizado especial civel de artur nogueira - tjsp;Estadual;TJSP;JE;26;502;0;;;0
juizado especial cível do planalto - tjmt;Estadual;TJMT;JE;26;615;0;;;0
juizado especial do consumidor - tjmt;Estadual;TJMT;JE;26;615;0;;;0
presidência - tjms;Estadual;TJMS;G2;36;698;0;;;0
santa rosa - tjac;Estadual;TJAC;JE;26;638;0;;;0
seções cíveis reunidas - tjba;Estadual;TJBA;G2;36;698;0;;;0
v dos feitos de rel de cons civ e comerciais de amargosa - tjba;Estadual;TJBA;G1;0;28;0;;;0
vaga de desembargador (desa.marilza maynard) - tjse;Estadual;TJSE;G2;36;698;0;;;0
vara - jesp do juizado especial de inhapim da comarca de inhapim - tjmg;Estadual;TJMG;JE;26;550;0;;;0
vara adj. da direção do foro da comarca de alvorada - tjrs;Estadual;TJRS;G1;26;638;0;;;0
vara adjunta do jec - coronel bicaco - tjrs;Estadual;TJRS;JE;26;615;0;;;0
vara da direção do foro da comarca de pelotas - tjrs;Estadual;TJRS;G1;0;0;0;;;0
vara da infância e da juventude e de precatórias cíveis da comarca de governador valadares - tjmg;Estadual;TJMG;G1;0;0;0;;;0
vara de família da comarca de viamão - tjrs;Estadual;TJRS;G1;26;512;0;;;0
vara juizado especial civel de itu - tjsp;Estadual;TJSP;JE;26;638;0;;;0
vara unica da infancia e juventude da comarca de juazeiro do norte - tjce;Estadual;TJCE;G1;0;0;0;;;0
vila velha - 4º juizado especial cível - tjes;Estadual;TJES;JE;26;550;0;;;0
[cejusc] alagoinhas - tjba;Estadual;TJBA;G1;0;1;0;;;1
[cejusc] porto seguro - tjba;Estadual;TJBA;G1;0;1;0;;;1
[cejusc] salvador cível e relações de consumo - tjba;Estadual;TJBA;G1;0;1;0;;;1
01 cumulativa de guararapes - tjsp;Estadual;TJSP;G1;0;1;0;;;1
01 familia sucessoes de diadema - tjsp;Estadual;TJSP;G1;0;1;0;;;1
01 familia sucessoes de guaruja - tjsp;Estadual;TJSP;G1;0;1;0;;;1
01 turma civel do colegio recursal da 8ª c.j. - campinas de campinas - tjsp;Estadual;TJSP;TR;49;752;0;;;1
02 cumulativa de buritama - tjsp;Estadual;TJSP;G1;0;1;0;;;1
02 cumulativa de ilha solteira - tjsp;Estadual;TJSP;G1;0;1;0;;;1
02 cumulativa de sao pedro - tjsp;Estadual;TJSP;G1;0;1;0;;;1
02 familia sucessoes de itapetininga - tjsp;Estadual;TJSP;G1;0;1;0;;;1
02 familia sucessoes de jundiai - tjsp;Estadual;TJSP;G1;0;1;0;;;1
02 turma civel e criminal do colegio recursal da 52ª c.j. - itapecerica da serra de itapecerica da serra - tjsp;Estadual;TJSP;TR;49;752;0;;;1
03 familia sucessoes de piracicaba - tjsp;Estadual;TJSP;G1;0;1;0;;;1
04 civel de maua - tjsp;Estadual;TJSP;G1;0;1;0;;;1
1� vara da comarca de crato - tjce;Estadual;TJCE;G1;0;1;0;;;1
1� vara de fam�lia da capital - tjpb;Estadual;TJPB;G1;0;1;0;;;1
1� vara mista de monteiro - tjpb;Estadual;TJPB;JE;26;499;0;;;1
1� vara mista de pianc� - tjpb;Estadual;TJPB;JE;26;499;0;;;1
10ª vara de familia da comarca de fortaleza - tjce;Estadual;TJCE;G1;0;1;0;;;1
12ï¿½ vara cï¿½vel de brasï¿½lia - tjdft;Estadual;TJDFT;G1;0;1;0;;;1
14ª câmara cível - serviço de apoio à jurisdição - porto alegre - tjrs;Estadual;TJRS;G2;36;671;0;;;1
14ª vara de familia da comarca de fortaleza - tjce;Estadual;TJCE;G1;0;1;0;;;1
16ª vara de familia da comarca de fortaleza - tjce;Estadual;TJCE;G1;0;1;0;;;1
1ª unidade dos juizados especiais civeis e criminais da comarca de caucaia - tjce;Estadual;TJCE;JE;26;499;0;;;1
1ª v da infância e juventude de salvador - tjba;Estadual;TJBA;G1;0;1;0;;;1
1ª v dos feitos de rel de cons civ e comerciais de são gabriel - tjba;Estadual;TJBA;G1;0;1;0;;;1
1ª v dos feitos de rel de cons civ e comerciais de serra preta - tjba;Estadual;TJBA;G1;0;1;0;;;1
1ª v dos feitos rel a relacoes de consumo, civel, com, fam e suc, faz, de reg pub e acidentes do trab de camamu - tjba;Estadual;TJBA;G1;0;1;0;;;1
1ª vara cível (juizado esp. cível) - são francisco do guaporé - tjro;Estadual;TJRO;JE;26;499;0;;;1
1ª vara civel da comarca de sobral - tjce;Estadual;TJCE;G1;0;1;0;;;1
1ª vara da comarca de maranguape - tjce;Estadual;TJCE;G1;0;1;0;;;1
1ª vara de família e sucessões - novo hamburgo - tjrs;Estadual;TJRS;G1;0;1;0;;;1
1ª vara de família e sucessões da comarca de caxias do sul - tjrs;Estadual;TJRS;G1;0;1;0;;;1
1ª vara de sucessões do foro central da comarca de porto alegre - tjrs;Estadual;TJRS;G1;0;1;0;;;1
1ª vara dos feitos rel de consumo, cíveis, comerciais e acidente de trabalho de simões filho - tjba;Estadual;TJBA;G1;0;1;0;;;1
1ª vara especializada familia e sucessões - tjmt;Estadual;TJMT;G1;0;1;0;;;1
1ï¿½ vara cï¿½vel de taguatinga - tjdft;Estadual;TJDFT;G1;0;1;0;;;1
1º cejusc de paragominas - tjpa;Estadual;TJPA;G1;0;1;0;;;1
1º cejusc de santarém - tjpa;Estadual;TJPA;G1;0;1;0;;;1
1º juízo da 13ª vara cível do foro central da comarca de porto alegre - tjrs;Estadual;TJRS;G1;0;1;0;;;1
1º juízo da 15ª vara cível do foro central da comarca de porto alegre - tjrs;Estadual;TJRS;G1;0;1;0;;;1
1º juízo da 1ª vara cível da comarca de canoas  - tjrs;Estadual;TJRS;G1;0;1;0;;;1
1º juízo da 8ª vara cível do foro central da comarca de porto alegre - tjrs;Estadual;TJRS;G1;0;1;0;;;1
1º juízo da vara cível do foro regional da tristeza da comarca de porto alegre - tjrs;Estadual;TJRS;G1;0;1;0;;;1
2 ª vara de família de açailândia - tjma;Estadual;TJMA;G1;0;1;0;;;1
2� vara mista de araruna - tjpb;Estadual;TJPB;G1;0;1;0;;;1
