sigla;dsc_sigla
a1;A1 - Assistência Judiciária Gratuita em relação à Despesa Total da Justiça
a2;A2 - Assistência Judiciária Gratuita por 100.000 habitantes (R$)
a3;A3 – Percentual de processos de justiça gratuita arquivados definitivamente
ano;Ano
apublic2;Apublic2º - Acórdãos Publicados no 2º Grau
areakm;Área em Quilômetros Quadrados
cc;Total de Cargos em Comissão
ch;Ch - Casos Novos por 100.000 habitantes
ch1;Ch1º - Casos Novos por 100.000 habitantes no 1º Grau
ch1jetr;Ch1º - Casos Novos por 100.000 habitantes no 1º Grau, juizados Especiais e Turmas Recursais
ch2;Ch2º - Casos Novos por 100.000 habitantes no 2º Grau
chje;ChJE - Casos Novos por 100.000 habitantes nos Juizados Especiais
chstm;ChSTM – Casos Novos por 100.000 habitantes no STM
chtr;ChTR - Casos Novos por 100.000 habitantes nas Turmas Recursais
chtru;ChTRU - Casos Novos por 100.000 habitantes nas Turmas Regionais de Uniformização
cm;Cm - Casos Novos por Magistrado
cm1;Cm1º - Casos Novos por Magistrado no 1º Grau
cm2;Cm2º - Casos Novos por Magistrado no 2º Grau
cmje;CmJE - Casos Novos por Magistrado nos Juizados Especiais
cmstm;CmSTM – Casos Novos por Magistrado no STM
cmtr;CmTR - Casos Novos por Magistrado nas Turmas Recursais
cmtru;CmTRU - Casos Novos por Magistrado nas Turmas Regionais de Uniformização
cn;Cn - Casos Novos
cn1;Cn1º - Casos Novos no 1º Grau
cn2;Cn2º - Casos Novos no 2º Grau
cn3;Cn3 - Casos Novos nos Tribunais Superiores.
cnc1;CnC1º - Casos Novos de Conhecimento no 1º Grau
cnccrim1;CnCCrim1º - Casos Novos de Conhecimento no 1º Grau Criminais
cnccrimje;CnCCrimJE - Casos Novos de Conhecimento nos Juizados Especiais Criminais
cnce1;CnCE1º - Casos Novos no 1º Grau Contra os Estados, Distrito Federal, Autarquias, Fundações e Empresas Públicas Estaduais ou Distritais
cnce2;CnCE2º - Casos Novos no 2º Grau Contra os Estados, Distrito Federal, Autarquias, Fundações e Empresas Públicas Estaduais ou Distritais
cncf1;CnCF1º - Casos Novos no 1º Grau Contra a União, Autarquias, Fundações e Empresas Públicas Federais
